nodenumber,    x-coordinate,    y-coordinate,        pressure,         density,      x-velocity,      y-velocity,     temperature,total-temperature,    total-energy, internal-energy
         1, 2.978723404E-03, 0.000000000E+00, 8.455453898E+04, 1.033922518E+00, 1.742740472E+02, 0.000000000E+00, 2.849112985E+02, 3.000000000E+02, 2.201486562E+05, 2.049629344E+05
         2, 5.957446809E-03, 0.000000000E+00, 8.455019973E+04, 1.033883902E+00, 1.742970336E+02, 0.000000000E+00, 2.849073180E+02, 3.000000000E+02, 2.201497988E+05, 2.049600709E+05
         3, 8.936170213E-03, 0.000000000E+00, 8.454393068E+04, 1.033829151E+00, 1.743318919E+02, 0.000000000E+00, 2.849012808E+02, 3.000000000E+02, 2.201515317E+05, 2.049557277E+05
         4, 1.191489362E-02, 0.000000000E+00, 8.453514663E+04, 1.033752329E+00, 1.743805613E+02, 0.000000000E+00, 2.848928496E+02, 3.000000000E+02, 2.201539517E+05, 2.049496624E+05
         5, 1.489361702E-02, 0.000000000E+00, 8.452387792E+04, 1.033653802E+00, 1.744430281E+02, 0.000000000E+00, 2.848820248E+02, 3.000000000E+02, 2.201570589E+05, 2.049418751E+05
         6, 1.787234043E-02, 0.000000000E+00, 8.451010692E+04, 1.033533404E+00, 1.745193644E+02, 0.000000000E+00, 2.848687913E+02, 3.000000000E+02, 2.201608574E+05, 2.049323550E+05
         7, 2.085106383E-02, 0.000000000E+00, 8.449382636E+04, 1.033391066E+00, 1.746095920E+02, 0.000000000E+00, 2.848531421E+02, 3.000000000E+02, 2.201653493E+05, 2.049210971E+05
         8, 2.382978723E-02, 0.000000000E+00, 8.447503180E+04, 1.033226744E+00, 1.747137182E+02, 0.000000000E+00, 2.848350723E+02, 3.000000000E+02, 2.201705360E+05, 2.049080978E+05
         9, 2.680851064E-02, 0.000000000E+00, 8.445371845E+04, 1.033040392E+00, 1.748317496E+02, 0.000000000E+00, 2.848145764E+02, 3.000000000E+02, 2.201764191E+05, 2.048933532E+05
        10, 2.978723404E-02, 0.000000000E+00, 8.442988119E+04, 1.032831957E+00, 1.749636928E+02, 0.000000000E+00, 2.847916483E+02, 3.000000000E+02, 2.201830004E+05, 2.048768589E+05
        11, 3.276595745E-02, 0.000000000E+00, 8.440351451E+04, 1.032601388E+00, 1.751095545E+02, 0.000000000E+00, 2.847662814E+02, 3.000000000E+02, 2.201902816E+05, 2.048586102E+05
        12, 3.574468085E-02, 0.000000000E+00, 8.437461242E+04, 1.032348625E+00, 1.752693417E+02, 0.000000000E+00, 2.847384684E+02, 3.000000000E+02, 2.201982650E+05, 2.048386018E+05
        13, 3.872340426E-02, 0.000000000E+00, 8.434316856E+04, 1.032073605E+00, 1.754430618E+02, 0.000000000E+00, 2.847082014E+02, 3.000000000E+02, 2.202069528E+05, 2.048168279E+05
        14, 4.170212766E-02, 0.000000000E+00, 8.430917615E+04, 1.031776263E+00, 1.756307218E+02, 0.000000000E+00, 2.846754720E+02, 3.000000000E+02, 2.202163474E+05, 2.047932826E+05
        15, 4.468085106E-02, 0.000000000E+00, 8.427262802E+04, 1.031456528E+00, 1.758323285E+02, 0.000000000E+00, 2.846402711E+02, 3.000000000E+02, 2.202264513E+05, 2.047679594E+05
        16, 4.765957447E-02, 0.000000000E+00, 8.423351670E+04, 1.031114326E+00, 1.760478883E+02, 0.000000000E+00, 2.846025893E+02, 3.000000000E+02, 2.202372674E+05, 2.047408514E+05
        17, 5.063829787E-02, 0.000000000E+00, 8.419183439E+04, 1.030749579E+00, 1.762774067E+02, 0.000000000E+00, 2.845624167E+02, 3.000000000E+02, 2.202487985E+05, 2.047119515E+05
        18, 5.361702128E-02, 0.000000000E+00, 8.414757307E+04, 1.030362208E+00, 1.765208886E+02, 0.000000000E+00, 2.845197428E+02, 3.000000000E+02, 2.202610476E+05, 2.046812523E+05
        19, 5.659574468E-02, 0.000000000E+00, 8.410072447E+04, 1.029952131E+00, 1.767783375E+02, 0.000000000E+00, 2.844745568E+02, 3.000000000E+02, 2.202740176E+05, 2.046487458E+05
        20, 5.957446809E-02, 0.000000000E+00, 8.405128016E+04, 1.029519262E+00, 1.770497557E+02, 0.000000000E+00, 2.844268477E+02, 3.000000000E+02, 2.202877120E+05, 2.046144243E+05
        21, 6.255319149E-02, 0.000000000E+00, 8.399923159E+04, 1.029063516E+00, 1.773351440E+02, 0.000000000E+00, 2.843766039E+02, 3.000000000E+02, 2.203021338E+05, 2.045782793E+05
        22, 6.553191489E-02, 0.000000000E+00, 8.394457009E+04, 1.028584803E+00, 1.776345014E+02, 0.000000000E+00, 2.843238139E+02, 3.000000000E+02, 2.203172866E+05, 2.045403026E+05
        23, 6.851063830E-02, 0.000000000E+00, 8.388728693E+04, 1.028083036E+00, 1.779478252E+02, 0.000000000E+00, 2.842684655E+02, 3.000000000E+02, 2.203331737E+05, 2.045004854E+05
